Wall time,Step,Value
1656402517.0870314,1,0.25
1656403787.9757743,2,0.6764000058174133
1656405309.1403759,3,0.7716000080108643
1656406845.8375556,4,0.8027999997138977
1656408483.633981,5,0.824400007724762
1656410008.6940594,6,0.8471999764442444
1656411536.0843792,7,0.8443999886512756
1656413056.7511477,8,0.8327999711036682
1656414580.5776756,9,0.8636000156402588
1656416099.2851243,10,0.8611999750137329
1656417625.8706343,11,0.8555999994277954
1656419151.4005868,12,0.868399977684021
1656420678.251606,13,0.8795999884605408
1656422203.1492355,14,0.8827999830245972
1656423727.5991702,15,0.8855999708175659
1656425253.124002,16,0.8820000290870667
1656426781.129863,17,0.8944000005722046
1656428340.6164548,18,0.8827999830245972
1656429941.311187,19,0.885200023651123
1656431464.5643718,20,0.8848000168800354
1656432984.5803657,21,0.885200023651123
1656434506.9317634,22,0.8823999762535095
1656436027.6227477,23,0.8867999911308289
1656437550.6895437,24,0.9007999897003174
1656439072.7617009,25,0.8820000290870667
1656440598.690554,26,0.892799973487854
1656442124.659239,27,0.8827999830245972
1656443646.019666,28,0.8791999816894531
1656445168.5936575,29,0.8820000290870667
1656446686.724998,30,0.8840000033378601
1656448209.239264,31,0.8888000249862671
1656449729.5740616,32,0.8916000127792358
1656451249.1197255,33,0.8999999761581421
1656452769.9085252,34,0.8820000290870667
1656454286.3082767,35,0.9052000045776367
1656455803.4120793,36,0.8903999924659729
1656457325.3652813,37,0.897599995136261
1656458846.57779,38,0.8888000249862671
1656460367.5946105,39,0.8899999856948853
1656461891.4403615,40,0.8980000019073486
1656463409.5155692,41,0.8939999938011169
1656465048.5370324,42,0.8920000195503235
1656466671.3861763,43,0.8884000182151794
1656468347.1084561,44,0.8876000046730042
1656470023.3405542,45,0.8992000222206116
1656471703.8791468,46,0.8984000086784363
1656473529.4663804,47,0.8944000005722046
1656475332.7771642,48,0.8907999992370605
1656477210.5461931,49,0.8948000073432922
1656479082.635313,50,0.9039999842643738
1656480952.9806068,51,0.8952000141143799
1656482827.425279,52,0.8920000195503235
1656484699.397072,53,0.8952000141143799
1656486571.0634787,54,0.8924000263214111
